Date,Open,High,Low,Close,Adj Close,Volume,Ticker,prevClose,Momentum,MomentumRatio,MomentumType,Pivot,BC,TC,NR-CPR
2019-12-30,72.36499786376953,75.1500015258789,71.30500030517578,74.35749816894531,72.84636688232422,526723200.0,AAPL,,,,Strong Momentum,73.60416666666667,73.22750091552734,73.980832417806,
2020-01-06,73.44750213623047,78.1675033569336,73.1875,77.5824966430664,76.00582885742188,670091600.0,AAPL,74.35749816894531,3.2249984741210938,,Strong Momentum,76.3125,75.6775016784668,76.9474983215332,No
2020-01-13,77.91000366210938,79.68499755859375,77.38749694824219,79.68250274658203,78.06314849853516,652055600.0,AAPL,77.5824966430664,2.100006103515625,0.6511649913533488,Less Momentum,78.91833241780598,78.53624725341797,79.300417582194,No
2020-01-20,79.29750061035156,80.8324966430664,78.9124984741211,79.57749938964844,77.96027374267578,463685200.0,AAPL,79.68250274658203,0.10500335693359375,0.05000145321378228,Less Momentum,79.77416483561198,79.87249755859375,79.67583211263022,No
2020-01-27,77.51499938964844,81.9625015258789,76.22000122070312,77.37750244140625,75.80500030517578,866734800.0,AAPL,79.57749938964844,2.1999969482421875,20.95168204606554,Strong Momentum,78.52000172932942,79.09125137329102,77.94875208536783,Yes
2020-02-03,76.07499694824219,81.30500030517578,75.55500030517578,80.00749969482422,78.38153076171875,652341200.0,AAPL,77.37750244140625,2.6299972534179688,1.1954549552986218,Less Momentum,78.9558334350586,78.43000030517578,79.4816665649414,No
2020-02-10,78.54499816894531,81.80500030517578,78.4625015258789,81.23750305175781,79.77542877197266,492263600.0,AAPL,80.00749969482422,1.2300033569335938,0.46768237317931416,Less Momentum,80.50166829427083,80.13375091552734,80.86958567301431,No
2020-02-17,78.83999633789062,81.1624984741211,77.625,78.26249694824219,76.8539810180664,476635200.0,AAPL,81.23750305175781,2.975006103515625,2.4186975480557504,Strong Momentum,79.01666514078777,79.39374923706055,78.63958104451498,No
2020-02-24,74.31500244140625,76.04499816894531,64.09249877929688,68.33999633789062,67.11005401611328,1398039200.0,AAPL,78.26249694824219,9.922500610351562,3.3352874801251473,Strong Momentum,69.49249776204427,70.0687484741211,68.91624704996744,No
2020-03-02,70.56999969482422,76.0,69.43000030517578,72.25749969482422,70.9570541381836,1293800800.0,AAPL,68.33999633789062,3.9175033569335938,0.3948100897919515,Less Momentum,72.5625,72.71500015258789,72.40999984741211,No
2020-03-09,65.9375,71.61000061035156,62.0,69.49250030517578,68.24181365966797,1616839600.0,AAPL,72.25749969482422,2.7649993896484375,0.7058065144359511,Less Momentum,67.70083363850911,66.80500030517578,68.59666697184244,No
2020-03-16,60.48749923706055,64.7699966430664,57.0,57.310001373291016,56.27857208251953,1620263600.0,AAPL,69.49250030517578,12.182498931884766,4.405968036554879,Strong Momentum,59.69333267211914,60.8849983215332,58.50166702270508,No
2020-03-23,57.02000045776367,64.66999816894531,53.15250015258789,61.935001373291016,60.82032775878906,1384190000.0,AAPL,57.310001373291016,4.625,0.3796429637186483,Less Momentum,59.919166564941406,58.9112491607666,60.92708396911621,No
2020-03-30,62.685001373291016,65.62249755859375,59.22499847412109,60.352500915527344,59.26631546020508,837010800.0,AAPL,61.935001373291016,1.5825004577636719,0.34216226113809123,Less Momentum,61.73333231608073,62.42374801635742,61.04291661580403,No
2020-04-06,62.72499847412109,67.92500305175781,62.345001220703125,66.99749755859375,65.79170989990234,735437600.0,AAPL,60.352500915527344,6.644996643066406,4.199048796773719,Strong Momentum,65.75583394368489,65.13500213623047,66.37666575113931,No
2020-04-13,67.07749938964844,72.0625,66.4574966430664,70.69999694824219,69.42758178710938,829547200.0,AAPL,66.99749755859375,3.7024993896484375,0.5571860436546253,Less Momentum,69.73999786376953,69.2599983215332,70.21999740600586,No
2020-04-20,69.48750305175781,70.75250244140625,66.35749816894531,70.74250030517578,69.46931457519531,678844800.0,AAPL,70.69999694824219,0.04250335693359375,0.011479639146579188,Less Momentum,69.28416697184245,68.55500030517578,70.01333363850912,No
2020-04-27,70.44999694824219,74.75,69.55000305175781,72.26750183105469,70.96686553955078,790054000.0,AAPL,70.74250030517578,1.5250015258789062,35.87955483755161,Strong Momentum,72.18916829427083,72.1500015258789,72.22833506266275,No
2020-05-04,72.2925033569336,77.5875015258789,71.58000183105469,77.53250122070312,76.1371078491211,672706400.0,AAPL,72.26750183105469,5.2649993896484375,3.452455161717988,Strong Momentum,75.56666819254558,74.5837516784668,76.54958470662436,Yes
2020-05-11,77.0250015258789,79.92250061035156,75.05249786376953,76.92749786376953,75.74748992919922,834147600.0,AAPL,77.53250122070312,0.6050033569335938,0.11491043249180546,Less Momentum,77.3008321126302,77.48749923706055,77.11416498819986,No
2020-05-18,78.2925033569336,80.22250366210938,77.58000183105469,79.72250366210938,78.49964141845703,532904800.0,AAPL,76.92749786376953,2.7950057983398438,4.619818661017163,Strong Momentum,79.17500305175781,78.90125274658203,79.4487533569336,No
2020-05-25,80.875,81.05999755859375,78.27249908447266,79.48500061035156,78.26576232910156,525560400.0,AAPL,79.72250366210938,0.2375030517578125,0.084974081949627,Less Momentum,79.60583241780598,79.6662483215332,79.54541651407877,No
2020-06-01,79.4375,82.9375,79.30249786376953,82.875,81.6037826538086,497736000.0,AAPL,79.48500061035156,3.3899993896484375,14.273498233215548,Strong Momentum,81.70499928792317,81.11999893188477,82.28999964396158,Yes
2020-06-08,82.5625,88.69249725341797,81.83000183105469,84.69999694824219,83.40077209472656,811826800.0,AAPL,82.875,1.8249969482421875,0.5383472792989058,Less Momentum,85.07416534423828,85.26124954223633,84.88708114624023,No
2020-06-15,83.3125,89.13999938964844,83.1449966430664,87.43000030517578,86.0888900756836,779940400.0,AAPL,84.69999694824219,2.7300033569335938,1.4958947518038845,Less Momentum,86.57166544596355,86.14249801635742,87.00083287556967,No
2020-06-22,87.83499908447266,93.09500122070312,87.7874984741211,88.40750122070312,87.05140686035156,883003200.0,AAPL,87.43000030517578,0.9775009155273438,0.3580585031314015,Less Momentum,89.76333363850911,90.44124984741211,89.08541742960611,No
2020-06-29,88.3125,92.61750030517578,87.81999969482422,91.02749633789062,89.6312026977539,495648000.0,AAPL,88.40750122070312,2.6199951171875,2.680299399795509,Strong Momentum,90.4883321126302,90.21875,90.75791422526041,No
2020-07-06,92.5,96.31749725341795,92.46749877929688,95.91999816894533,94.44866943359376,564072000.0,AAPL,91.02749633789062,4.892501831054702,1.8673705912500638,Strong Momentum,94.90166473388672,94.39249801635742,95.41083145141602,No
2020-07-13,97.26499938964844,99.95500183105467,93.87750244140624,96.32749938964844,94.84992980957033,718600800.0,AAPL,95.91999816894533,0.4075012207031108,0.08329096948243014,Less Momentum,96.72000122070312,96.91625213623045,96.5237503051758,No
2020-07-20,96.4175033569336,99.25,89.1449966430664,92.61499786376952,91.1943817138672,665196000.0,AAPL,96.32749938964844,3.7125015258789205,9.110405901295941,Strong Momentum,93.66999816894531,94.1974983215332,93.14249801635742,No
2020-07-27,93.70999908447266,106.41500091552734,93.24749755859376,106.26000213623048,104.63007354736328,847635600.0,AAPL,92.61499786376952,13.645004272460966,3.6754205156132733,Strong Momentum,101.97416687011719,99.83124923706055,104.11708450317383,No
2020-08-03,108.1999969482422,114.4124984741211,107.89250183105467,111.1125030517578,109.40813446044922,1003474000.0,AAPL,106.26000213623048,4.852500915527315,0.3556247267229426,Less Momentum,111.13916778564453,111.15250015258789,111.12583541870117,No
2020-08-10,112.5999984741211,116.0425033569336,109.10749816894533,114.90750122070312,113.34891510009766,941551200.0,AAPL,111.1125030517578,3.7949981689453267,0.7820705724757043,Less Momentum,113.35250091552734,112.57500076293945,114.13000106811523,Yes
2020-08-17,116.0625,124.86750030517578,113.9625015258789,124.37000274658205,122.68306732177734,835695200.0,AAPL,114.90750122070312,9.46250152587892,2.4934139898435466,Strong Momentum,121.06666819254558,119.41500091552734,122.71833546956381,No
2020-08-24,128.69749450683594,128.78500366210938,123.05249786376952,124.80750274658205,123.1146469116211,1063638000.0,AAPL,124.37000274658205,0.4375,0.04623513124975301,Less Momentum,125.54833475748698,125.91875076293945,125.17791875203451,No
2020-08-31,127.58000183105467,137.97999572753906,110.88999938964844,120.95999908447266,119.3193130493164,1167976600.0,AAPL,124.80750274658205,3.847503662109389,8.79429408482146,Strong Momentum,123.27666473388672,124.43499755859375,122.11833190917969,No
2020-09-07,113.9499969482422,120.5,110.0,112.0,110.4808578491211,771441800.0,AAPL,120.95999908447266,8.959999084472656,2.3287824707515283,Strong Momentum,114.16666666666667,115.25,113.08333333333334,No
2020-09-14,114.72000122070312,118.83000183105467,106.08999633789062,106.83999633789062,105.39083862304688,944587000.0,AAPL,112.0,5.160003662109375,0.5758933247048506,Less Momentum,110.58666483561198,112.45999908447266,108.71333058675131,No
2020-09-21,104.54000091552734,112.86000061035156,103.0999984741211,112.27999877929688,110.7570571899414,847212600.0,AAPL,106.83999633789062,5.44000244140625,1.054263290809839,Less Momentum,109.41333262125652,107.97999954223633,110.8466657002767,No
2020-09-28,115.01000213623048,117.72000122070312,112.22000122070312,113.0199966430664,111.48700714111328,640562200.0,AAPL,112.27999877929688,0.7399978637695312,0.13602895802712922,Less Momentum,114.31999969482422,114.97000122070312,113.66999816894531,No
2020-10-05,113.91000366210938,117.0,112.25,116.97000122070312,115.3834457397461,548575100.0,AAPL,113.0199966430664,3.9500045776367188,5.33785943315497,Strong Momentum,115.4066670735677,114.625,116.18833414713541,No
2020-10-12,120.05999755859376,125.38999938964844,118.1500015258789,119.0199966430664,117.4056396484375,881222300.0,AAPL,116.97000122070312,2.0499954223632812,0.5189855814267917,Less Momentum,120.85333251953125,121.77000045776367,119.93666458129883,No
2020-10-19,119.95999908447266,120.41999816894533,114.27999877929688,115.04000091552734,113.47962188720705,519569600.0,AAPL,119.0199966430664,3.9799957275390625,1.9414656657871134,Strong Momentum,116.57999928792317,117.3499984741211,115.81000010172525,No
2020-10-26,114.01000213623048,117.27999877929688,107.72000122070312,108.86000061035156,107.3834457397461,684467100.0,AAPL,115.04000091552734,6.180000305175781,1.5527655626396966,Strong Momentum,111.28666687011719,112.5,110.07333374023438,No
2020-11-02,109.11000061035156,119.62000274658205,107.31999969482422,118.69000244140624,117.08013153076172,609571800.0,AAPL,108.86000061035156,9.830001831054673,1.590615104472082,Strong Momentum,115.21000162760417,113.47000122070312,116.95000203450522,No
2020-11-09,120.5,121.98999786376952,114.12999725341795,119.26000213623048,117.84534454345705,589577900.0,AAPL,118.69000244140624,0.5699996948242472,0.057985716037561634,Less Momentum,118.45999908447266,118.05999755859374,118.86000061035158,No
2020-11-16,118.91999816894533,120.98999786376952,116.80999755859376,117.33999633789062,115.9481201171875,389493400.0,AAPL,119.26000213623048,1.920005798339858,3.3684330286034094,Strong Momentum,118.37999725341797,118.89999771118164,117.8599967956543,No
2020-11-23,117.18000030517578,117.62000274658205,112.58999633789062,116.58999633789062,115.20701599121094,365024000.0,AAPL,117.33999633789062,0.75,0.3906238203282985,Less Momentum,115.5999984741211,115.10499954223633,116.09499740600586,No
2020-11-30,116.97000122070312,123.77999877929688,116.80999755859376,122.25,120.79988098144533,543370600.0,AAPL,116.58999633789062,5.660003662109375,7.546671549479167,Strong Momentum,120.94666544596355,120.29499816894531,121.59833272298178,No
2020-12-07,122.30999755859376,125.9499969482422,120.1500015258789,122.41000366210938,120.9579849243164,452278700.0,AAPL,122.25,0.160003662109375,0.02826917996193393,Less Momentum,122.83666737874348,123.04999923706055,122.62333552042642,No
2020-12-14,122.5999984741211,129.5800018310547,121.54000091552734,126.66000366210938,125.15756225585938,621538100.0,AAPL,122.41000366210938,4.25,26.56189204653824,Strong Momentum,125.92666880289714,125.56000137329102,126.29333623250326,No
2020-12-21,125.0199966430664,134.41000366210938,123.4499969482422,131.97000122070312,130.4045867919922,433310200.0,AAPL,126.66000366210938,5.30999755859375,1.249411190257353,Less Momentum,129.9433339436849,128.93000030517578,130.95666758219403,No
2020-12-28,133.99000549316406,138.7899932861328,131.72000122070312,132.69000244140625,131.1160430908203,441102200.0,AAPL,131.97000122070312,0.720001220703125,0.13559351256910998,Less Momentum,134.3999989827474,135.25499725341797,133.54500071207684,No
2021-01-04,133.52000427246094,133.61000061035156,126.37999725341795,132.0500030517578,130.483642578125,610791200.0,AAPL,132.69000244140625,0.6399993896484375,0.8888865341414827,Less Momentum,130.68000030517578,129.99499893188477,131.3650016784668,No
2021-01-11,129.19000244140625,131.4499969482422,126.86000061035156,127.13999938964844,125.63186645507812,482792700.0,AAPL,132.0500030517578,4.910003662109375,7.671888038528479,Strong Momentum,128.48333231608072,129.15499877929688,127.81166585286456,No
2021-01-18,127.77999877929688,139.85000610351562,126.94000244140624,139.07000732421875,137.42037963867188,429687100.0,AAPL,127.13999938964844,11.930007934570312,2.429735038007098,Strong Momentum,135.28667195638022,133.39500427246094,137.1783396402995,No
2021-01-25,143.07000732421875,145.08999633789062,130.2100067138672,131.9600067138672,130.39471435546875,716991000.0,AAPL,139.07000732421875,7.1100006103515625,0.595976184537856,Less Momentum,135.75333658854166,137.6500015258789,133.8566716512044,No
2021-02-01,133.75,137.4199981689453,130.92999267578125,136.75999450683594,135.1377410888672,439303000.0,AAPL,131.9600067138672,4.79998779296875,0.6751037103963636,Less Momentum,135.03666178385416,134.17499542236328,135.89832814534503,No
2021-02-08,136.02999877929688,137.8800048828125,133.69000244140625,135.3699951171875,133.96412658691406,345543100.0,AAPL,136.75999450683594,1.3899993896484375,0.2895839426268072,Less Momentum,135.64666748046875,135.78500366210938,135.50833129882812,No
2021-02-15,135.49000549316406,136.00999450683594,127.41000366210938,129.8699951171875,128.521240234375,363020300.0,AAPL,135.3699951171875,5.5,3.956836269828201,Strong Momentum,131.09666442871094,131.70999908447266,130.48332977294922,Yes
