Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Pivot,BC,TC,S1,S2,S3,R1,R2,R3
2022-01-03,144.47549438476562,145.5500030517578,143.50250244140625,145.07449340820312,145.07449340820312,25214000,GOOG,144.70899963378906,144.52625274658203,144.8917465209961,143.8679962158203,142.6614990234375,141.82049560546875,145.91549682617188,146.75650024414062,147.96299743652344
2022-01-04,145.55050659179688,146.61000061035156,143.81614685058594,144.41650390625,144.41650390625,22928000,GOOG,144.94755045572916,145.21307373046875,144.68202718098956,143.28510030110675,142.15369669596353,140.49124654134113,146.07895406087238,147.74140421549478,148.872807820638
2022-01-05,144.18099975585938,144.29800415039062,137.52349853515625,137.65350341796875,137.65350341796875,49642000,GOOG,139.82500203450522,140.91075134277344,138.739252726237,135.3519999186198,133.05049641927084,128.57749430338544,142.12650553385419,146.5995076497396,148.90101114908856
2022-01-06,137.49749755859375,139.68600463867188,136.7635040283203,137.55099487304688,137.55099487304688,29050000,GOOG,138.0001678466797,138.2247543334961,137.77558135986328,136.3143310546875,135.07766723632812,133.39183044433594,139.23683166503906,140.92266845703125,142.15933227539062
2022-01-07,137.90499877929688,138.25474548339844,135.78900146484375,137.00450134277344,137.00450134277344,19408000,GOOG,137.01608276367188,137.0218734741211,137.01029205322266,135.7774200439453,134.5503387451172,133.31167602539062,138.2431640625,139.48182678222656,140.7089080810547
2022-01-10,135.0989990234375,138.63999938964844,133.1405029296875,138.57400512695312,138.57400512695312,34096000,GOOG,136.7848358154297,135.89025115966797,137.6794204711914,134.92967224121094,131.28533935546875,129.43017578125,140.42916870117188,142.28433227539062,145.9286651611328
2022-01-11,138.1804962158203,140.32949829101562,136.81350708007812,140.0175018310547,140.0175018310547,23502000,GOOG,139.05350240071616,138.57150268554688,139.53550211588544,137.77750651041669,135.53751118977866,134.26151529947919,141.29349772135419,142.56949361165366,144.80948893229169
2022-01-12,141.55450439453125,142.8142547607422,141.11199951171875,141.6479949951172,141.6479949951172,23642000,GOOG,141.85808308919272,141.96312713623047,141.75303904215497,140.90191141764325,140.15582784016928,139.1996561686198,142.60416666666669,143.56033833821616,144.30642191569012
2022-01-13,141.8404998779297,143.1855010986328,138.91400146484375,139.13099670410156,139.13099670410156,26566000,GOOG,140.41016642252603,141.04975128173828,139.77058156331378,137.63483174641925,136.13866678873697,133.3633321126302,141.90633138020831,144.6816660563151,146.17783101399738
2022-01-14,137.5,141.20050048828125,137.5,139.7864990234375,139.7864990234375,23826000,GOOG,139.49566650390625,139.35025024414062,139.64108276367188,137.79083251953125,135.795166015625,134.09033203125,141.4913330078125,143.1961669921875,145.19183349609375
2022-01-18,136.60000610351562,137.39149475097656,135.61700439453125,136.29049682617188,136.29049682617188,27382000,GOOG,136.43299865722656,136.5042495727539,136.36174774169922,135.47450256347656,134.65850830078125,133.70001220703125,137.24899291992188,138.20748901367188,139.0234832763672
2022-01-19,136.93850708007812,138.39950561523438,135.5,135.65199279785156,135.65199279785156,20796000,GOOG,136.5171661376953,136.9497528076172,136.08457946777344,134.63482666015625,133.61766052246094,131.73532104492188,137.53433227539062,139.4166717529297,140.433837890625
2022-01-20,136.51400756835938,137.91200256347656,133.14450073242188,133.50650024414062,133.50650024414062,21930000,GOOG,134.85433451334634,135.52825164794922,134.18041737874347,131.79666646321613,130.08683268229166,127.02916463216144,136.56416829427081,139.62183634440103,141.3316701253255
2022-01-21,133.01199340820312,134.760498046875,130.00100708007812,130.0919952392578,130.0919952392578,41920000,GOOG,131.61783345540366,132.38075256347656,130.85491434733075,128.4751688639323,126.85834248860678,123.71567789713544,133.23465983072919,136.37732442220053,137.99415079752606
2022-01-24,126.02749633789062,130.77850341796875,124.64195251464844,130.3719940185547,130.3719940185547,55148000,GOOG,128.59748331705728,127.7102279663086,129.48473866780597,126.41646321614581,122.46093241373697,120.2799123128255,132.55301411946613,134.7340342203776,138.68956502278644
2022-01-25,128.4355010986328,129.3385009765625,126.37799835205078,126.7354965209961,126.7354965209961,36008000,GOOG,127.48399861653645,127.85824966430664,127.10974756876627,125.62949625651041,124.52349599202473,122.66899363199869,128.58999888102213,130.44450124104816,131.55050150553384
2022-01-26,130.59249877929688,132.8074951171875,127.15350341796876,129.24000549316406,129.24000549316406,39630000,GOOG,129.7336680094401,129.98049926757812,129.48683675130206,126.65984090169269,124.07967631022136,121.00584920247395,132.31383260091144,135.38765970865882,137.96782430013016
2022-01-27,131.36099243164062,132.60995483398438,128.94500732421875,129.12100219726562,129.12100219726562,30248000,GOOG,130.2253214518229,130.77748107910156,129.67316182454425,127.84068806966144,126.56037394205728,124.17574055989581,131.50563557942706,133.89026896158853,135.1705830891927
2022-01-28,130.0,133.37049865722656,128.6945037841797,133.2895050048828,133.2895050048828,30518000,GOOG,131.7848358154297,131.03250122070312,132.53717041015625,130.1991729736328,127.10884094238281,125.52317810058594,134.8751678466797,136.46083068847656,139.55116271972656
2022-01-31,134.197998046875,135.843505859375,132.2740020751953,135.69850158691406,135.69850158691406,34056000,GOOG,134.60533650716147,134.05875396728516,135.15191904703778,133.36716715494794,131.03583272298178,129.79766337076825,136.93667093912762,138.17484029134116,140.5061747233073
2022-02-01,137.8350067138672,138.1999969482422,134.56825256347656,137.8784942626953,137.8784942626953,51204000,GOOG,136.8822479248047,136.38412475585938,137.38037109375,135.5644989013672,133.25050354003906,131.93275451660156,139.1962432861328,140.5139923095703,142.82798767089844
2022-02-02,151.86349487304688,152.10000610351562,145.5574951171875,148.0364990234375,148.0364990234375,89750000,GOOG,148.56466674804688,148.82875061035156,148.3005828857422,145.02932739257812,142.02215576171875,138.48681640625,151.57183837890625,155.107177734375,158.11434936523438
2022-02-03,145.2949981689453,149.11770629882812,142.2050018310547,142.65049743652344,142.65049743652344,56930000,GOOG,144.6577351888021,145.6613540649414,143.65411631266278,140.19776407877606,137.74503072102866,133.28505961100262,147.1104685465495,151.57043965657553,154.02317301432294
2022-02-04,143.01699829101562,144.53524780273438,139.8175048828125,143.01600646972656,143.01600646972656,49224000,GOOG,142.4562530517578,142.17637634277344,142.7361297607422,140.37725830078125,137.73851013183594,135.65951538085938,145.09500122070312,147.1739959716797,149.812744140625
